Series_Title,Gross
"Sherlock Jr.","977,375"
"Schindler's List","96,898,818"
Rash̫mon,"96,568"
"Bacheha-Ye aseman","933,933"
"OMG: Oh My God!","923,221"
Haider,"901,610"
Chhichhore,"898,575"
"Avengers: Endgame","858,373,000"
"Song of the Sea","857,524"
Aliens,"85,160,248"
